student	k-pr-1	k-pr-2	k-pr-3	k-pr-4	k-pr-5	k-pr-6	k-pr-7	k-pr-8	k-po-1	k-po-2	k-po-3	k-po-4	k-po-5	k-po-6	k-po-7	k-po-8	p-pr-1	p-pr-2	p-pr-3	p-pr-4	p-pr-5	p-pr-6	p-pr-7	p-pr-8	p-pr-9	p-pr-10	p-pr-11	p-pr-12	p-pr-13	p-pr-14	p-pr-15	p-pr-16	p-pr-17	p-pr-18	p-pr-19	p-pr-20	p-pr-21	p-pr-22	p-pr-23	p-po-1	p-po-2	p-po-3	p-po-4	p-po-5	p-po-6	p-po-7	p-po-8	p-po-9	p-po-10	p-po-11	p-po-12	p-po-13	p-po-14	p-po-15	p-po-16	p-po-17	p-po-18	p-po-19	p-po-20	p-po-21	p-po-22	p-po-23	p-po-24	p-po-25	c-pr-1	c-pr-2	c-pr-3	c-pr-4	c-pr-5	c-pr-6	c-pr-7	c-pr-8	c-pr-9	c-pr-10	c-po-1	c-po-2	c-po-3	c-po-4	c-po-5	c-po-6	c-po-7	c-po-8	c-po-9	c-po-10
1	2	2	2	2	2	2	2	4	5	4	5	5	5	5	4	4	4	3	3	2	2	2	5	3	2	3	2	5	2	3	3	2	3	3	3	2	2	3	3	1	3	3	3	2	3	2	3	1	3	3	5	2	3	3	1	3	3	3	2	3	3	3	1	2	2	4	7	1	3	9	10	8	5	6	1	9	8	4	3	10	2	7	5	6
2	2	3	1	1	2	2	2	3	5	5	5	5	5	5	4	4	2	3	3	1	2	1	4	2	2	2	2	3	3	4	3	3	3	4	2	3	3	2	2	1	3	3	1	1	1	3	2	1	1	1	2	2	2	4	2	2	3	1	3	4	1	1	3	3	9	7	6	2	3	5	4	10	1	8	1	7	3	6	9	8	2	5	10	4
3	3	4	3	2	4	5	4	5	4	5	4	5	5	5	4	5	2	1	2	1	1	3	1	1	3	1	2	2	1	1	5	1	1	1	2	5	5	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	2	5	1	1	1	1	4	5	1	1	3	3	8	9	7	10	2	5	6	4	3	1	2	8	7	9	5	6	4	3	10	1
4	3	4	3	3	4	3	4	4	4	5	5	5	5	5	5	5	3	1	1	1	2	2	3	2	2	2	2	1	1	2	4	3	2	3	2	1	4	2	2	1	1	1	1	2	1	2	1	1	2	1	2	1	2	5	2	2	2	1	5	5	2	1	3	3	7	10	6	1	4	5	2	8	3	9	3	6	3	9	7	4	5	2	8	1
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	2	2	3	4	2	2	3	3	2	1	4	4	2	2	3	3	5	3	2	2	2	2	2	1	3	2	2	1	1	1	1	2	2	3	4	2	2	3	3	5	3	2	1	2	2	2	4	5	10	6	3	9	7	8	1	4	6	3	10	9	1	7	8	5	2
6	1	1	1	1	2	1	3	3	5	5	4	4	5	5	4	4	4	3	3	3	3	3	2	3	3	3	3	3	3	2	3	2	3	3	3	3	3	4	3	1	2	2	1	2	2	1	1	2	1	1	2	2	2	4	2	2	3	3	3	4	2	1	2	2	1	6	3	8	9	10	7	6	2	4	1	10	7	6	9	5	4	3	8	2
7	2	2	3	3	2	3	3	3	3	3	3	4	4	3	3	4	3	2	3	2	2	3	3	2	1	3	2	3	2	4	4	2	2	2	2	4	4	2	2	2	3	3	2	2	2	3	2	1	2	2	2	2	2	4	2	2	2	2	3	4	2	2	2	2	7	10	6	1	5	3	4	9	8	2	1	6	2	10	7	5	3	9	8	4
8	3	4	3	4	3	2	4	2	5	5	4	4	4	5	5	5	3	4	4	3	3	2	2	3	4	2	3	2	3	3	2	3	4	4	4	4	3	3	3	2	2	2	2	2	1	1	1	1	3	2	1	1	1	5	2	2	3	2	2	5	1	1	3	3	4	6	1	3	10	2	5	8	9	7	4	7	8	9	3	1	2	5	10	6
9	2	2	2	2	3	4	4	3	4	4	3	4	4	4	4	4	2	2	2	1	1	2	4	1	2	1	2	2	2	3	4	2	2	1	2	4	5	2	2	1	1	1	1	1	2	2	1	1	2	2	2	2	2	5	2	1	1	1	5	5	2	2	3	3	8	3	2	7	1	4	5	10	9	6	7	5	6	9	2	1	3	8	10	4
10	2	3	3	3	2	4	5	5	4	4	3	4	4	4	4	5	2	1	1	1	1	1	1	2	1	1	2	2	1	1	4	2	2	2	1	5	5	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	1	5	2	1	2	2	5	5	1	1	3	3	1	10	6	5	9	4	8	7	2	3	1	8	6	9	10	5	7	3	2	4
11	3	2	3	2	4	3	5	5	4	5	4	5	5	5	5	5	4	2	2	1	1	2	5	2	2	1	1	1	1	1	5	2	2	1	1	5	5	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	5	1	1	1	1	5	5	1	1	3	3	5	9	2	7	6	3	4	10	8	1	5	8	2	7	6	4	3	9	10	1
12	2	2	2	3	4	4	4	4	4	5	4	3	5	5	5	5	4	2	3	2	1	1	5	2	3	2	1	2	3	3	5	2	2	3	2	5	4	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	3	5	1	1	2	1	5	5	1	1	3	3	6	8	1	10	9	3	4	5	7	2	5	8	9	6	10	4	3	2	7	1
13	3	2	3	3	2	3	2	2	4	4	4	5	4	5	4	5	2	5	4	2	2	3	1	2	2	2	2	3	2	2	5	2	3	1	2	3	4	3	2	1	1	3	2	1	4	3	3	1	2	3	3	1	2	5	2	2	1	1	2	4	2	2	2	2	3	9	4	10	7	1	2	8	5	6	3	8	2	10	7	4	5	6	9	1
14	2	3	4	4	4	4	5	5	4	5	3	4	4	5	5	4	4	3	2	1	2	1	4	1	1	3	1	2	1	4	3	1	3	1	2	3	5	3	2	2	3	3	1	2	1	2	1	2	2	1	1	2	2	4	2	3	1	2	3	5	2	2	2	3	1	7	4	8	2	6	9	3	10	5	1	9	7	7	5	6	8	3	4	2
15	3	3	2	1	4	3	4	4	5	5	4	5	5	5	5	5	2	1	1	1	1	3	2	1	2	1	1	1	1	1	5	2	1	1	1	5	5	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	5	2	1	1	1	5	5	1	1	3	3	3	7	8	10	5	2	4	6	9	1	2	8	5	9	7	4	6	3	10	1
16	3	3	2	1	3	2	3	4	5	5	4	4	5	5	5	5	4	1	2	1	1	1	3	1	3	1	1	1	1	3	5	2	2	1	1	5	5	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	2	5	1	1	1	1	4	5	1	1	3	3	1	3	6	9	8	5	7	4	10	2	1	6	8	9	7	4	5	2	10	3
17	3	2	2	3	2	3	3	4	4	5	4	4	5	5	5	5	3	1	1	1	1	3	3	2	1	2	2	2	2	3	5	2	2	1	2	5	5	2	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	5	2	2	1	2	4	5	1	1	3	2	3	6	2	10	5	1	4	8	9	7	6	9	5	10	7	1	2	3	8	4
